101980000,101981000,101982000,101983000,101984000,101985000,101986000,101987000,101988000,101989000,101990000,101991000,101992000,101993000,101994000,101995000,101996000,101997000,101998000,101999000,102000000
,101980040,101981040,101982040,101983040,101984040,101985040,101986040,101987040,101988040,101989040,101990040,101991040,101992040,101993040,101994040,101995040,101996040,101997040,101998040,101999040,102000040
,101980080,101981080,101982080,101983080,101984080,101985080,101986080,101987080,101988080,101989080,101990080,101991080,101992080,101993080,101994080,101995080,101996080,101997080,101998080,101999080,102000080
,101980120,101981120,101982120,101983120,101984120,101985120,101986120,101987120,101988120,101989120,101990120,101991120,101992120,101993120,101994120,101995120,101996120,101997120,101998120,101999120,102000120
,101980160,101981160,101982160,101983160,101984160,101985160,101986160,101987160,101988160,101989160,101990160,101991160,101992160,101993160,101994160,101995160,101996160,101997160,101998160,101999160,102000160
,101980200,101981200,101982200,101983200,101984200,101985200,101986200,101987200,101988200,101989200,101990200,101991200,101992200,101993200,101994200,101995200,101996200,101997200,101998200,101999200,102000200
,101980240,101981240,101982240,101983240,101984240,101985240,101986240,101987240,101988240,101989240,101990240,101991240,101992240,101993240,101994240,101995240,101996240,101997240,101998240,101999240,102000240
,101980280,101981280,101982280,101983280,101984280,101985280,101986280,101987280,101988280,101989280,101990280,101991280,101992280,101993280,101994280,101995280,101996280,101997280,101998280,101999280,102000280
,101980320,101981320,101982320,101983320,101984320,101985320,101986320,101987320,101988320,101989320,101990320,101991320,101992320,101993320,101994320,101995320,101996320,101997320,101998320,101999320,102000320
,101980360,101981360,101982360,101983360,101984360,101985360,101986360,101987360,101988360,101989360,101990360,101991360,101992360,101993360,101994360,101995360,101996360,101997360,101998360,101999360,102000360
,101980400,101981400,101982400,101983400,101984400,101985400,101986400,101987400,101988400,101989400,101990400,101991400,101992400,101993400,101994400,101995400,101996400,101997400,101998400,101999400,102000400
,101980440,101981440,101982440,101983440,101984440,101985440,101986440,101987440,101988440,101989440,101990440,101991440,101992440,101993440,101994440,101995440,101996440,101997440,101998440,101999440,102000440
101979480,101980480,101981480,101982480,101983480,101984480,101985480,101986480,101987480,101988480,101989480,101990480,101991480,101992480,101993480,101994480,101995480,101996480,101997480,101998480,101999480,102000480
101979520,101980520,101981520,101982520,101983520,101984520,101985520,101986520,101987520,101988520,101989520,101990520,101991520,101992520,101993520,101994520,101995520,101996520,101997520,101998520,101999520,102000520
101979560,101980560,101981560,101982560,101983560,101984560,101985560,101986560,101987560,101988560,101989560,101990560,101991560,101992560,101993560,101994560,101995560,101996560,101997560,101998560,101999560,102000560
101979600,101980600,101981600,101982600,101983600,101984600,101985600,101986600,101987600,101988600,101989600,101990600,101991600,101992600,101993600,101994600,101995600,101996600,101997600,101998600,101999600,102000600
101979640,101980640,101981640,101982640,101983640,101984640,101985640,101986640,101987640,101988640,101989640,101990640,101991640,101992640,101993640,101994640,101995640,101996640,101997640,101998640,101999640,102000640
101979680,101980680,101981680,101982680,101983680,101984680,101985680,101986680,101987680,101988680,101989680,101990680,101991680,101992680,101993680,101994680,101995680,101996680,101997680,101998680,101999680,102000680
101979720,101980720,101981720,101982720,101983720,101984720,101985720,101986720,101987720,101988720,101989720,101990720,101991720,101992720,101993720,101994720,101995720,101996720,101997720,101998720,101999720,102000720
101979760,101980760,101981760,101982760,101983760,101984760,101985760,101986760,101987760,101988760,101989760,101990760,101991760,101992760,101993760,101994760,101995760,101996760,101997760,101998760,101999760,102000760
101979800,101980800,101981800,101982800,101983800,101984800,101985800,101986800,101987800,101988800,101989800,101990800,101991800,101992800,101993800,101994800,101995800,101996800,101997800,101998800,101999800,102000800
101979840,101980840,101981840,101982840,101983840,101984840,101985840,101986840,101987840,101988840,101989840,101990840,101991840,101992840,101993840,101994840,101995840,101996840,101997840,101998840,101999840,102000840
101979880,101980880,101981880,101982880,101983880,101984880,101985880,101986880,101987880,101988880,101989880,101990880,101991880,101992880,101993880,101994880,101995880,101996880,101997880,101998880,101999880,102000880
101979920,101980920,101981920,101982920,101983920,101984920,101985920,101986920,101987920,101988920,101989920,101990920,101991920,101992920,101993920,101994920,101995920,101996920,101997920,101998920,101999920,102000920
